LSOA code,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)
E01000883,25075
E01000884,30248
E01000885,28290
E01000886,25622
E01000887,20985
E01000888,19356
E01000889,7620
E01000890,4006
E01000891,4795
E01000892,18135
E01000893,30202
E01000894,28780
E01000895,26602
E01000896,29763
E01000897,30122
E01000898,22390
E01000899,29501
E01000900,10171
E01000901,7868
E01000902,5453
E01000903,15302
E01000904,11021
E01000905,4848
E01000906,23987
E01000907,6341
E01000908,9462
E01000909,22437
E01000910,24847
E01000911,17027
E01000912,12523
E01000913,25415
E01000914,20943
E01000915,12012
E01000916,14830
E01000917,5902
E01000918,13788
E01000919,12962
E01000920,18902
E01000921,18723
E01000922,12979
E01000923,14943
E01000924,20738
E01000925,8318
E01000926,16623
E01000927,18974
E01000928,14085
E01000929,10528
E01000930,7671
E01000931,6050
E01000932,14310
E01000933,10342
E01000934,5734
E01000935,6954
E01000936,13208
E01000937,19616
E01000938,6387
E01000939,4547
E01000940,14633
E01000941,4860
E01000942,18602
E01000943,14517
E01000944,12258
E01000945,8263
E01000946,19148
E01000947,10959
E01000948,8522
E01000949,14696
E01000950,4347
E01000951,6164
E01000952,6511
E01000953,5146
E01000954,5931
E01000955,6579
E01000956,6420
E01000957,9984
E01000958,11047
E01000959,4567
E01000960,17492
E01000961,12315
E01000962,29401
E01000963,26116
E01000964,16265
E01000965,16618
E01000966,28370
E01000967,25349
E01000968,19671
E01000969,29120
E01000970,24158
E01000971,27230
E01000972,9542
E01000973,13867
E01000974,10710
E01000975,16380
E01000976,10317
E01000977,8864
E01000978,13895
E01000979,16495
E01000980,9879
E01000981,19959
E01000982,15540
E01000983,20498
E01000984,7716
E01000985,26136
E01000986,21003
E01000987,25290
E01000989,21663
E01000990,4189
E01000991,25997
E01000992,7019
E01000993,21934
E01000994,14569
E01000995,13889
E01000996,14397
E01000997,12509
E01000998,6849
E01000999,12197
E01001000,8917
E01001001,5065
E01001002,12648
E01001003,10779
E01001004,9626
E01001005,11930
E01001006,7710
E01001007,15344
E01001008,7840
E01001009,11542
E01001010,3792
E01001011,7617
E01001012,5032
E01001013,2836
E01001014,7895
E01001015,11187
E01001016,19580
E01001017,27025
E01001018,28945
E01001019,30069
E01001020,26497
E01001021,5720
E01001022,25335
E01001023,11765
E01001024,25960
E01001025,29173
E01001026,21373
E01001027,23880
E01001028,29249
E01001029,18934
E01001030,27962
E01001031,28476
E01001032,31701
E01001033,19477
E01001034,19092
E01001035,15799
E01001036,22193
E01001037,14015
E01001038,15646
E01001039,26259
E01001040,18763
E01001041,13451
E01001042,5333
E01001043,7324
E01001044,24251
E01001045,5615
E01001046,24801
E01001047,12736
E01001048,8534
E01001049,21805
E01001050,12739
E01001051,4553
E01001052,3683
E01001053,6916
E01001054,5919
E01001055,4623
E01001056,4911
E01001057,4109
E01001058,22615
E01001059,18690
E01001060,13900
E01001061,11605
E01001062,24671
E01001063,28486
E01001064,21223
E01001065,18054
E01001066,4602
E01001067,28333
E01001068,16728
E01001069,24807
E01001070,19494
E01001071,21108
E01001072,26813
E01001073,17617
E01001074,15845
E01001075,22665
E01001076,5461
E01001077,15639
E01001078,5536
E01001079,6279
E01001080,2247
E01001081,6015
E01001082,6659
E01001083,20660
E01001084,19960
E01001085,15555
E01001086,17278
E01001087,11394
E01001088,17821
E01001089,8631
E01001090,11770
E01001091,18543
E01001092,14497
E01001093,22543
E01001094,26468
E01001095,17663
E01001096,28195
E01001097,12443
E01001098,27652
E01001099,14611
E01001100,26012
E01001101,30394
E01001102,28156
E01001103,28082
E01001104,29727
E01001105,13713
E01001106,21553
E01001107,28273
E01001108,30386
E01001109,7046
E01001110,3477
E01001111,8781
E01001112,7851
E01001113,8829
E01001114,3866
E01001115,3186
E01001116,8560
E01001117,9323
E01001118,4115
E01001119,25971
E01001120,24489
E01001121,28016
E01001122,25084
E01001123,25485
E01001124,29636
E01001125,22109
E01001126,28547
E01001127,25246
E01001128,5944
E01001129,30882
E01001130,5163
E01001131,21386
E01001132,25449
E01001133,22956
E01001134,24648
E01001135,26298
E01001136,6706
E01001137,11694
E01001138,15577
E01001139,14729
E01001140,12982
E01001141,9313
E01001142,13217
E01001143,7941
